beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,1,38,1.0464667884652068,1.3409706242457002,0.2324676242293885,0.15617584665356263,10.604480560591679,9.52672664586732,134,122,0.10638297872340426,311296,0.09190212985407153,0.0464667884652068,0.10601958383619985
0.2,1,39,1.0984512853343715,1.317356324678324,-0.4790891231462219,0.14508625654195992,10.452853595917569,9.362899755507813,135,121,0.10416666666666667,319488,0.1150937647432263,0.09845128533437153,0.12176245021445069
0.2,1,40,1.0790826909463858,1.3704641804695523,0.1822197360021698,-0.3330924715225844,10.637692696342887,9.483338600995932,135,121,0.1020408163265306,327680,0.08418587593715794,0.07908269094638576,0.08635721302029846
0.2,1,41,1.0191194586759051,1.3865361146280162,0.5756470297966141,-0.10286037861416923,10.639545102447764,9.561117097850397,134,122,0.1,335872,0.06382574109067794,0.019119458675905143,0.07564259024798921
0.2,1,42,1.010193812059999,1.3754783707935185,0.08739993166295477,0.07218495175160071,10.410302971409724,9.39366838794164,134,122,0.09803921568627452,344064,0.06930323545461094,0.010193812059998919,0.08301441947098764
0.2,1,43,0.9864906602120157,1.389842882218851,0.23665226805026496,-0.09561018804701331,10.35474413672996,9.3315543533885,134,122,0.09615384615384615,352256,0.06156195843177862,0.013509339787984298,0.07343807852076593
0.2,1,44,0.982721784797692,1.4775298429752708,0.03835207621615815,-0.5948683417715506,10.278356425930385,9.289464025104534,134,122,0.09433962264150944,360448,0.01572303236845434,0.01727821520230799,0.014980104683152806
0.2,1,45,0.9600819668473002,1.5111379830728626,0.2347296325096621,-0.2322994643545541,10.406347041261688,9.524278038536718,133,123,0.09259259259259259,368640,0.022988318355945087,0.03991803315269982,0.007425322048575082
0.2,2,0,0.5,0.5,,,,,,,,0,0.6201736729460423,0.5,0.6666666666666666
0.2,2,1,0.5318372636940496,0.5843290498018064,-0.27983132245478237,-0.4941360487544067,7.084960076217787,5.4999490643968745,144,112,0.5,8192,0.5704599053401731,0.4681627363059504,0.610447300132129
0.2,2,2,0.5660032056879323,0.6677418090636282,-0.7464147537140414,-1.2148650679121493,7.309716898440957,5.785675937001986,142,114,0.45454545454545453,16384,0.5206525236821236,0.4339967943120677,0.5548387939575812
0.2,2,3,0.6477656233462208,0.7056879163563612,-0.3311418673770299,-0.10245575076738556,7.5460207353795905,6.081244561677078,141,115,0.4166666666666667,24576,0.4819833199536379,0.3522343766537792,0.5295413890957592
0.2,2,4,0.6746344330712737,0.7917289941271499,-0.1191621317707364,-0.2543925677377267,7.90675791984651,6.412086638868729,141,115,0.3846153846153846,32768,0.43234977645526784,0.3253655669287263,0.47218067058190005
0.2,2,5,0.7455402862579317,0.8473829246610494,-0.8489576566526033,-0.44423065540336754,8.126774149153125,6.703187775842684,140,116,0.35714285714285715,40960,0.3885510729489005,0.2544597137420683,0.4350780502259671
0.2,2,6,0.7627526007839109,0.7923898899446001,-0.04957146583482022,0.10558662665558259,8.48053384743386,7.059220182116093,139,117,0.3333333333333333,49152,0.41398565426182193,0.23724739921608906,0.4717400733702666
